Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2QT,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QU,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QW,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2QX,42,29.17%,72,50.00%,0,0.00%,26,18.06%
CF24 2QY,8,7.02%,87,76.32%,0,0.00%,17,14.91%
CF24 2QZ,37,29.60%,61,48.80%,1,0.80%,22,17.60%
CF24 2RA,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RB,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RD,8,7.02%,87,76.32%,0,0.00%,17,14.91%
CF24 2RE,37,29.60%,61,48.80%,1,0.80%,22,17.60%
CF24 2RF,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RG,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RH,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RJ,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RL,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2RN,2,1.77%,81,71.68%,0,0.00%,26,23.01%
CF24 2RP,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2RQ,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2RR,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2RS,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2RT,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2RU,59,41.26%,60,41.96%,0,0.00%,17,11.89%
CF24 2RW,37,29.60%,61,48.80%,1,0.80%,22,17.60%
CF24 2RX,70,83.33%,2,2.38%,1,1.19%,11,13.10%
CF24 2RY,9,6.34%,64,45.07%,0,0.00%,65,45.77%
CF24 2RZ,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2SA,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2SB,67,59.29%,37,32.74%,0,0.00%,4,3.54%
CF24 2SE,2,1.77%,81,71.68%,0,0.00%,26,23.01%
CF24 2SF,9,6.34%,64,45.07%,0,0.00%,65,45.77%
CF24 2SG,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2SH,23,22.55%,64,62.75%,0,0.00%,15,14.71%
CF24 2SJ,23,22.55%,64,62.75%,0,0.00%,15,14.71%
CF24 2SL,23,22.55%,64,62.75%,0,0.00%,15,14.71%
CF24 2SN,40,35.71%,57,50.89%,1,0.89%,12,10.71%
CF24 2SP,8,7.02%,87,76.32%,0,0.00%,17,14.91%
CF24 2SQ,8,7.02%,87,76.32%,0,0.00%,17,14.91%
CF24 2SR,49,38.89%,49,38.89%,0,0.00%,19,15.08%
CF24 2SS,52,42.28%,47,38.21%,0,0.00%,23,18.70%
CF24 2ST,40,35.71%,57,50.89%,1,0.89%,12,10.71%
CF24 2SU,40,35.71%,57,50.89%,1,0.89%,12,10.71%
CF24 2SW,23,22.55%,64,62.75%,0,0.00%,15,14.71%
CF24 2SX,49,38.89%,49,38.89%,0,0.00%,19,15.08%
CF24 2SY,49,38.89%,49,38.89%,0,0.00%,19,15.08%
CF24 2SZ,52,42.28%,47,38.21%,0,0.00%,23,18.70%
CF24 2TA,49,38.89%,49,38.89%,0,0.00%,19,15.08%
CF24 2TB,52,42.28%,47,38.21%,0,0.00%,23,18.70%
CF24 2TD,49,38.89%,49,38.89%,0,0.00%,19,15.08%
CF24 2TE,52,42.28%,47,38.21%,0,0.00%,23,18.70%
CF24 2TF,40,35.71%,57,50.89%,1,0.89%,12,10.71%
CF24 2TG,8,7.02%,87,76.32%,0,0.00%,17,14.91%
CF24 2TH,30,17.65%,54,31.76%,2,1.18%,77,45.29%
CF24 2TJ,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2TL,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2TN,30,17.65%,54,31.76%,2,1.18%,77,45.29%
CF24 2TP,3,2.21%,91,66.91%,0,0.00%,37,27.21%
CF24 2TQ,70,70.71%,11,11.11%,0,0.00%,18,18.18%
CF24 2TR,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2TS,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2TT,30,17.65%,54,31.76%,2,1.18%,77,45.29%
