Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2AA,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AB,48,30.19%,44,27.67%,1,0.63%,62,38.99%
CF24 2AD,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AE,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AF,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AG,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AH,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AJ,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AL,48,36.92%,46,35.38%,0,0.00%,32,24.62%
CF24 2AN,48,30.19%,44,27.67%,1,0.63%,62,38.99%
CF24 2AP,48,30.19%,44,27.67%,1,0.63%,62,38.99%
CF24 2AQ,48,30.19%,44,27.67%,1,0.63%,62,38.99%
CF24 2AR,48,30.19%,44,27.67%,1,0.63%,62,38.99%
CF24 2AS,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AT,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AU,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AW,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AX,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2AY,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2AZ,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2BA,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2BB,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2BD,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2BE,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2BF,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2BG,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2BH,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2BJ,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2BL,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2BN,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2BP,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2BS,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2BT,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2BU,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2BW,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2BX,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2BY,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2BZ,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2DA,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2DB,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2DD,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2DE,81,46.29%,56,32.00%,1,0.57%,26,14.86%
CF24 2DF,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2DG,32,22.70%,80,56.74%,0,0.00%,26,18.44%
CF24 2DH,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2DJ,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2DL,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2DN,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2DP,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2DQ,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2DR,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2DS,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2DT,21,16.41%,74,57.81%,0,0.00%,30,23.44%
CF24 2DU,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2DW,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2DX,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2DY,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2DZ,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2EA,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2EB,150,88.76%,9,5.33%,0,0.00%,5,2.96%
