Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2ED,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2EE,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2EF,4,6.25%,39,60.94%,0,0.00%,20,31.25%
CF24 2EG,22,17.46%,69,54.76%,0,0.00%,27,21.43%
CF24 2EH,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2EJ,52,31.33%,62,37.35%,0,0.00%,50,30.12%
CF24 2EL,98,45.16%,34,15.67%,1,0.46%,69,31.80%
CF24 2EN,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2EP,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2EQ,98,45.16%,34,15.67%,1,0.46%,69,31.80%
CF24 2ER,98,45.16%,34,15.67%,1,0.46%,69,31.80%
CF24 2ES,29,23.02%,74,58.73%,0,0.00%,21,16.67%
CF24 2ET,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2EU,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2EW,98,45.16%,34,15.67%,1,0.46%,69,31.80%
CF24 2EX,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2EY,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2EZ,98,45.16%,34,15.67%,1,0.46%,69,31.80%
CF24 2FB,150,88.76%,9,5.33%,0,0.00%,5,2.96%
CF24 2FE,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2FL,44,86.27%,3,5.88%,0,0.00%,3,5.88%
CF24 2FN,26,37.68%,1,1.45%,0,0.00%,40,57.97%
CF24 2FT,112,75.17%,15,10.07%,1,0.67%,13,8.72%
CF24 2FU,44,86.27%,3,5.88%,0,0.00%,3,5.88%
CF24 2FY,112,75.17%,15,10.07%,1,0.67%,13,8.72%
CF24 2HA,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2HB,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2HE,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2HF,79,56.83%,26,18.71%,0,0.00%,34,24.46%
CF24 2HG,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HH,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HJ,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2HL,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2HN,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2HP,21,17.07%,76,61.79%,0,0.00%,21,17.07%
CF24 2JL,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2JN,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2JP,19,13.38%,97,68.31%,0,0.00%,22,15.49%
CF24 2JQ,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2JR,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2JS,10,7.94%,87,69.05%,0,0.00%,26,20.63%
CF24 2JT,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2JU,34,22.97%,93,62.84%,0,0.00%,18,12.16%
CF24 2JW,42,28.00%,41,27.33%,1,0.67%,59,39.33%
CF24 2JX,28,18.30%,98,64.05%,0,0.00%,22,14.38%
CF24 2JY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2JZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2LR,Error,Error,Error,Error,Error,Error,Error,Error
