Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2TU,3,2.21%,91,66.91%,0,0.00%,37,27.21%
CF24 2TW,3,2.21%,91,66.91%,0,0.00%,37,27.21%
CF24 2TX,9,6.34%,64,45.07%,0,0.00%,65,45.77%
CF24 2TY,59,41.84%,61,43.26%,0,0.00%,17,12.06%
CF24 2TZ,52,30.95%,66,39.29%,0,0.00%,47,27.98%
CF24 2UA,30,17.65%,54,31.76%,2,1.18%,77,45.29%
CF24 2UD,2,1.77%,81,71.68%,0,0.00%,26,23.01%
CF24 2WR,40,23.81%,94,55.95%,2,1.19%,31,18.45%
CF24 2XN,40,23.81%,94,55.95%,2,1.19%,31,18.45%
CF24 2YE,87,78.38%,20,18.02%,0,0.00%,4,3.60%
CF24 2YZ,40,23.81%,94,55.95%,2,1.19%,31,18.45%
