Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5SJ,85,47.22%
CF3 5SL,85,47.22%
CF3 5SN,85,47.22%
CF3 5SP,85,47.22%
CF3 5SR,85,47.22%
CF3 5SZ,85,47.22%
CF3 5TE,85,47.22%
CF3 5TF,85,47.22%
CF3 5TH,85,47.22%
CF3 5TR,85,47.22%
CF3 5TS,85,47.22%
CF3 5SY,39,39.80%
CF3 5SH,32,27.35%
CF3 5TA,37,24.18%
CF3 5TB,37,24.18%
CF3 5TQ,37,24.18%
CF3 5SX,19,16.38%
CF3 5TG,18,14.88%
CF3 5TJ,18,14.88%
CF3 5TL,18,14.88%
CF3 5TN,18,14.88%
CF3 5TP,18,14.88%
CF3 5SW,5,3.57%
CF3 5ST,3,3.45%
CF3 5SU,3,3.45%
