Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5RB,116,86.57%
CF3 5RD,116,86.57%
CF3 5RF,116,86.57%
CF3 5RN,85,47.22%
CF3 5RJ,34,30.36%
CF3 5SF,34,30.36%
CF3 5RH,39,27.27%
CF3 5RL,39,27.27%
CF3 5RP,39,27.27%
CF3 5RQ,39,27.27%
CF3 5SB,39,27.27%
CF3 5SD,39,27.27%
CF3 5SE,32,27.35%
CF3 5RT,37,24.18%
CF3 5RR,37,24.18%
CF3 5RE,19,20.21%
CF3 5RG,34,30.36%
CF3 5RS,1,0.71%
CF3 5RU,1,0.71%
CF3 5RW,1,0.71%
CF3 5RX,1,0.71%
CF3 5RY,1,0.71%
CF3 5RZ,1,0.71%
CF3 5SA,1,0.71%
CF3 5SG,34,30.36%
