Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5LY,72,56.25%
CF3 5LZ,72,56.25%
CF3 5NF,72,56.25%
CF3 5NH,72,56.25%
CF3 5LA,60,50.00%
CF3 5NJ,60,50.00%
CF3 5LN,57,50.00%
CF3 5LW,57,50.00%
CF3 5NN,57,50.00%
CF3 5LH,48,33.57%
CF3 5LJ,34,30.36%
CF3 5LP,34,30.36%
CF3 5NB,34,30.36%
CF3 5LQ,34,30.36%
CF3 5LR,36,27.91%
CF3 5LS,36,27.91%
CF3 5LT,36,27.91%
CF3 5NA,36,27.91%
CF3 5NG,36,27.91%
CF3 5LL,32,27.35%
CF3 5LU,32,27.35%
CF3 5LX,38,26.76%
CF3 5ND,38,26.76%
CF3 5NE,38,26.76%
CF3 5NL,38,26.76%
