Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5RA,116,86.57%
CF3 5QP,75,60.98%
CF3 5QQ,75,60.98%
CF3 5QS,75,60.98%
CF3 5QU,75,60.98%
CF3 5QW,75,60.98%
CF3 5QD,57,50.00%
CF3 5QE,57,50.00%
CF3 5QT,57,50.00%
CF3 5QJ,63,45.00%
CF3 5QL,63,45.00%
CF3 5QF,48,39.02%
CF3 5QG,48,39.02%
CF3 5QH,48,39.02%
CF3 5QX,48,39.02%
CF3 5QN,40,33.06%
CF3 5QR,40,33.06%
CF3 5QY,40,33.06%
CF3 5QZ,40,33.06%
CF3 5QA,32,27.35%
CF3 5QB,37,24.18%
CF3 5PX,19,20.21%
CF3 5PY,19,20.21%
CF3 5PZ,19,20.21%
CF3 5PW,12,9.92%
