Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5NR,75,60.98%
CF3 5PU,75,60.98%
CF3 5NW,75,56.39%
CF3 5NX,75,56.39%
CF3 5PA,75,56.39%
CF3 5PF,75,56.39%
CF3 5PG,75,56.39%
CF3 5PL,75,56.39%
CF3 5PH,82,58.57%
CF3 5PJ,82,58.57%
CF3 5PP,82,58.57%
CF3 5PB,82,58.57%
CF3 5NT,72,56.25%
CF3 5NU,60,50.00%
CF3 5NQ,85,47.22%
CF3 5NP,63,45.00%
CF3 5NY,63,45.00%
CF3 5NZ,63,45.00%
CF3 5PD,63,45.00%
CF3 5PQ,51,43.97%
CF3 5PR,51,43.97%
CF3 5PS,51,43.97%
CF3 5PE,40,33.06%
CF3 5PT,40,33.06%
CF3 5PN,Error,Error
