Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5UG,82,58.57%
CF3 5UB,57,55.88%
CF3 5UJ,61,41.78%
CF3 5UN,61,41.78%
CF3 5UW,61,41.78%
CF3 5UY,61,41.78%
CF3 5TX,37,28.03%
CF3 5TZ,37,28.03%
CF3 5TT,37,24.18%
CF3 5TU,37,24.18%
CF3 5TW,35,24.82%
CF3 5UE,35,24.82%
CF3 5UF,35,24.82%
CF3 5US,13,9.49%
CF3 5UT,13,9.49%
CF3 5UU,13,9.49%
CF3 5UX,13,9.49%
CF3 5TY,13,8.50%
CF3 5UA,10,7.09%
CF3 5UH,82,58.57%
CF3 5UD,3,3.45%
CF3 5UL,3,3.45%
CF3 5UP,3,3.45%
CF3 5UQ,3,3.45%
CF3 5UR,3,3.45%
