Postcode,Council + Other Social (Count),Council + Other Social (%)
CF3 5AB,85,47.22%
CF3 5DF,61,41.78%
CF3 5JZ,60,50.00%
CF3 5AD,48,33.57%
CF3 5HS,48,33.57%
CF3 5HT,48,33.57%
CF3 5HU,48,33.57%
CF3 5BD,37,28.03%
CF3 5DE,37,28.03%
CF3 5EA,37,28.03%
CF3 5HW,36,27.91%
CF3 5DG,31,23.31%
CF3 5JU,31,23.31%
CF3 5JW,31,23.31%
CF3 5JX,31,23.31%
CF3 5JY,31,23.31%
CF3 5DH,13,8.50%
CF3 5DJ,13,8.50%
CF3 5ET,13,8.50%
CF3 5EX,13,9.49%
CF3 5EY,13,9.49%
CF3 5EZ,13,9.49%
CF3 5DL,12,9.92%
CF3 5AA,10,7.09%
CF3 5FX,5,3.57%
